r_fighter,b_fighter
Rashad Evans,Jason Lambert
Joe Lauzon,Jens Pulver
Roger Huerta,Jason Dent
Eddie Sanchez,Mario Neto
Jorge Gurgel,Danny Abbadi
Tyson Griffin,David Lee
Kendall Grove,Chris Price
Jason MacDonald,Ed Herman
Matt Hamill,Seth Petruzelli
Tito Ortiz,Ken Shamrock
Tony DeSouza,Dustin Hazelett
Rory Singer,Josh Haynes
Thiago Alves,John Alessio
Marcus Davis,Forrest Petz
Nate Marquardt,Crafton Wallace
Kurt Pellegrino,Junior Assuncao
Clay Guida,Justin James
Yushin Okami,Kalib Starnes
Spencer Fisher,Dan Lauzon
Carmelo Marrero,Cheick Kongo
Jon Fitch,Kuniyoshi Hironaka
Sean Sherk,Kenny Florian
Anderson Silva,Rich Franklin
Din Thomas,Rich Clementi
Travis Lutter,Patrick Cote
Jorge Rivera,Edwin DeWees
Matt Serra,Chris Lytle
Scott Smith,Pete Sell
Charles McCarthy,Gideon Ray
Pete Spratt,Jeremy Jackson
Martin Kampmann,Thales Leites
Georges St-Pierre,Matt Hughes
Tim Sylvia,Jeff Monson
Drew McFedries,Alessio Sakara
Brandon Vera,Frank Mir
Jake O'Brien,Josh Shockman
Nick Diaz,Gleison Tibau
Antoni Hardonk,Sherman Pendergarst
James Irvin,Hector Ramirez
Joe Stevenson,Dokonjonosuke Mishima
Logan Clark,Steve Byrnes
Brock Larson,Keita Nakamura
Luigi Fioravanti,Dave Menne
Alan Belcher,Jorge Santiago
David Heath,Victor Valimaki
Marcus Davis,Shonie Carter
Karo Parisyan,Drew Fickett
Josh Koscheck,Jeff Joslin
Diego Sanchez,Joe Riggs
Chuck Liddell,Tito Ortiz
Jason MacDonald,Chris Leben
Andrei Arlovski,Marcio Cruz
Keith Jardine,Forrest Griffin
Thiago Alves,Tony DeSouza
Gabriel Gonzaga,Carmelo Marrero
Michael Bisping,Eric Schafer
Yushin Okami,Rory Singer
Christian Wellisch,Anthony Perosh
Rashad Evans,Sean Salmon
Jake O'Brien,Heath Herring
Hermes Franca,Spencer Fisher
Ed Herman,Chris Price
Joshua Burkman,Chad Reiner
Din Thomas,Clay Guida
Rich Clementi,Ross Pointon
Nate Marquardt,Dean Lister
Anderson Silva,Travis Lutter
Roger Huerta,John Halverson
Quinton Jackson,Marvin Eastman
Mirko Filipovic,Eddie Sanchez
Frankie Edgar,Tyson Griffin
Lyoto Machida,Sam Hoger
Dustin Hazelett,Diego Saraiva
Patrick Cote,Scott Smith
Terry Martin,Jorge Rivera
Randy Couture,Tim Sylvia
Jamie Varner,Jason Gilliam
Gleison Tibau,Jason Dent
Jon Fitch,Luigi Fioravanti
Matt Hamill,Rex Holman
Jason Lambert,Renato Sobral
Matt Hughes,Chris Lytle
Rich Franklin,Jason MacDonald
Martin Kampmann,Drew McFedries
Kenny Florian,Dokonjonosuke Mishima
Joe Stevenson,Melvin Guillard
Wilson Gouveia,Seth Petruzelli
Justin McCully,Antoni Hardonk
Kurt Pellegrino,Nate Mohr
Kuniyoshi Hironaka,Forrest Petz
Roan Carneiro,Rich Clementi
Thiago Tavares,Naoyuki Kotani
Drew Fickett,Keita Nakamura
Matt Serra,Georges St-Pierre
Josh Koscheck,Diego Sanchez
Roger Huerta,Leonard Garcia
