event,date,location,r_fighter,b_fighter,status,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,round,time,r_career_fights,r_career_wins,r_career_losses,r_career_draws,r_career_str,r_career_td,r_career_kd,b_career_fights,b_career_wins,b_career_losses,b_career_draws,b_career_str,b_career_td,b_career_kd,r_career_win_rate,b_career_win_rate
UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",Marco Ruas,Keith Hackney,win,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,Open Weight,SUB,Rear Naked Choke,1.0,2:39,4,3,1,0,52,1,1,3,2,1,0,46,0,1,0.75,0.6666666666666666
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Don Frye,Gary Goodridge,win,0.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,Open Weight,KO/TKO,Punches,1.0,2:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Ken Shamrock,Kimo Leopoldo,win,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,Open Weight,SUB,Kneebar,1.0,4:24,5,3,0,2,53,4,0,1,0,1,0,6,1,0,0.6,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Gary Goodridge,Jerry Bohlander,win,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,Open Weight,KO/TKO,Punch,1.0,5:31,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0.0,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Don Frye,Sam Adkins,win,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,,1.0,0:48,1,1,0,0,12,0,0,0,0,0,0,0,0,0,1.0,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Gary Goodridge,Paul Herrera,win,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,Open Weight,KO/TKO,Elbows,1.0,0:13,2,1,1,0,5,2,0,0,0,0,0,0,0,0,0.5,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Jerry Bohlander,Scott Ferrozzo,win,0.0,0.0,7.0,9.0,0.0,2.0,1.0,1.0,Open Weight,SUB,Guillotine Choke,1.0,9:03,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Paul Varelans,Joe Moreira,win,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,Open Weight,U-DEC,,1.0,10:00,6,3,3,0,26,2,1,0,0,0,0,0,0,0,0.5,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Don Frye,Thomas Ramirez,win,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Open Weight,KO/TKO,Punch,1.0,0:08,2,2,0,0,17,1,0,0,0,0,0,0,0,0,1.0,0.0
UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",Sam Adkins,Keith Mielke,win,0.0,0.0,0.0,0.0,0.0,0.0,,,Open Weight,KO/TKO,Punches,1.0,0:50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
